ibge7;Município;2010;2012;2014;2016;2018
3113503;Carbonita;0,756;0,776;0,816;0,830;0,753
3113602;Careaçu;0,730;0,678;0,774;0,668;0,740
3113701;Carlos Chagas;0,563;0,600;0,636;0,678;0,595
3113800;Carmésia;0,799;0,692;0,790;0,750;0,772
3113909;Carmo da Cachoeira;0,740;0,738;0,685;0,713;0,745
3114006;Carmo da Mata;0,738;0,756;0,808;0,794;0,676
3114105;Carmo de Minas;0,784;0,753;0,749;0,790;0,803
3114204;Carmo do Cajuru;0,741;0,822;0,825;0,802;0,709
3114303;Carmo do Paranaíba;0,758;0,802;0,859;0,752;0,708
3114402;Carmo do Rio Claro;0,633;0,742;0,777;0,716;0,622
3114501;Carmópolis de Minas;0,689;0,774;0,765;0,753;0,751
3114550;Carneirinho;0,684;0,818;0,783;0,792;0,801
3114600;Carrancas;0,721;0,771;0,761;0,759;0,639
3114709;Carvalhópolis;0,747;0,824;0,837;0,674;0,671
3114808;Carvalhos;0,678;0,763;0,710;0,658;0,673
3114907;Casa Grande;0,555;0,562;0,664;0,672;0,762
3115003;Cascalho Rico;0,692;0,704;0,840;0,828;0,710
3115102;Cássia;0,640;0,674;0,608;0,656;0,599
3115300;Cataguases;0,627;0,719;0,733;0,688;0,609
3115359;Catas Altas;0,817;0,814;0,777;0,710;0,793
3115409;Catas Altas da Noruega;0,769;0,674;0,754;0,747;0,633
3115458;Catuji;0,552;0,599;0,684;0,617;0,617
3115474;Catuti;0,755;0,761;0,713;0,791;0,782
3115508;Caxambu;0,681;0,682;0,740;0,741;0,612
3115607;Cedro do Abaeté;0,620;0,722;0,640;0,633;0,641
3115706;Central de Minas;0,646;0,704;0,718;0,643;0,586
3115805;Centralina;0,831;0,854;0,826;0,771;0,722
3115904;Chácara;0,726;0,664;0,842;0,814;0,664
3116001;Chalé;0,759;0,848;0,844;0,813;0,835
3116100;Chapada do Norte;0,650;0,559;0,681;0,715;0,764
3116159;Chapada Gaúcha;0,722;0,719;0,706;0,745;0,794
3116209;Chiador;0,737;0,796;0,805;0,554;0,603
3116308;Cipotânea;0,794;0,839;0,789;0,774;0,647
3116407;Claraval;0,791;0,890;0,832;0,788;0,808
3116506;Claro dos Poções;0,834;0,792;0,820;0,838;0,791
3116605;Cláudio;0,755;0,809;0,798;0,714;0,714
3116704;Coimbra;0,762;0,797;0,776;0,704;0,621
3116803;Coluna;0,675;0,592;0,576;0,710;0,646
3116902;Comendador Gomes;0,855;0,877;0,864;0,825;0,701
3117009;Comercinho;0,745;0,643;0,659;0,664;0,600
3117108;Conceição da Aparecida;0,853;0,833;0,813;0,800;0,715
3115201;Conceição da Barra de Minas;0,672;0,786;0,817;0,770;0,713
3117306;Conceição das Alagoas;0,788;0,668;0,792;0,769;0,715
3117207;Conceição das Pedras;0,828;0,939;0,913;0,825;0,819
3117405;Conceição de Ipanema;0,767;0,889;0,866;0,595;0,739
3117504;Conceição do Mato Dentro;0,611;0,668;0,682;0,701;0,678
3117603;Conceição do Pará;0,624;0,739;0,748;0,762;0,730
3117702;Conceição do Rio Verde;0,619;0,663;0,687;0,697;0,612
3117801;Conceição dos Ouros;0,758;0,783;0,733;0,763;0,788
3117836;Cônego Marinho;0,724;0,745;0,829;0,747;0,734
3117876;Confins;0,759;0,852;0,793;0,769;0,707
3117900;Congonhal;0,738;0,720;0,729;0,813;0,788
3118007;Congonhas;0,749;0,787;0,752;0,749;0,762
3118106;Congonhas do Norte;0,741;0,694;0,707;0,851;0,706
3118205;Conquista;0,787;0,834;0,776;0,733;0,724
3118304;Conselheiro Lafaiete;0,694;0,698;0,682;0,670;0,596
3118403;Conselheiro Pena;0,655;0,747;0,756;0,766;0,686
3118502;Consolação;0,813;0,872;0,893;0,870;0,808
3118601;Contagem;0,729;0,724;0,672;0,612;0,539
3118700;Coqueiral;0,746;0,804;0,880;0,811;0,783
3118809;Coração de Jesus;0,613;0,696;0,672;0,666;0,601
3118908;Cordisburgo;0,811;0,760;0,786;0,791;0,726
3119005;Cordislândia;0,645;0,789;0,776;0,715;0,623
3119104;Corinto;0,679;0,717;0,724;0,631;0,530
3119203;Coroaci;0,726;0,769;0,813;0,758;0,775
3119302;Coromandel;0,727;0,775;0,710;0,728;0,719
3119401;Coronel Fabriciano;0,645;0,679;0,673;0,660;0,558
3119500;Coronel Murta;0,742;0,693;0,673;0,708;0,639
3119609;Coronel Pacheco;0,678;0,822;0,831;0,834;0,880
3119708;Coronel Xavier Chaves;0,650;0,764;0,737;0,529;0,506
3119807;Córrego Danta;0,631;0,872;0,857;0,719;0,692
3119906;Córrego do Bom Jesus;0,633;0,775;0,750;0,762;0,771
3119955;Córrego Fundo;0,848;0,799;0,828;0,860;0,846
3120003;Córrego Novo;0,610;0,514;0,657;0,749;0,611
3120102;Couto de Magalhães de Minas;0,617;0,704;0,809;0,711;0,635
3120151;Crisólita;0,542;0,527;0,632;0,733;0,652
3120201;Cristais;0,660;0,709;0,763;0,797;0,824
3120300;Cristália;0,712;0,672;0,788;0,642;0,768
3120409;Cristiano Otoni;0,699;0,730;0,679;0,582;0,729
3120508;Cristina;0,797;0,747;0,736;0,721;0,681
3120607;Crucilândia;0,785;0,792;0,797;0,722;0,705
3120706;Cruzeiro da Fortaleza;0,807;0,873;0,894;0,737;0,711
3120805;Cruzília;0,835;0,777;0,826;0,787;0,753
3120839;Cuparaque;0,668;0,758;0,787;0,664;0,611
3120870;Curral de Dentro;0,748;0,752;0,818;0,860;0,806
3120904;Curvelo;0,641;0,641;0,569;0,642;0,589
3121001;Datas;0,697;0,709;0,853;0,815;0,837
3121100;Delfim Moreira;0,823;0,860;0,813;0,831;0,764
3121209;Delfinópolis;0,797;0,768;0,838;0,793;0,807
3121258;Delta;0,641;0,802;0,847;0,836;0,704
3121308;Descoberto;0,687;0,781;0,784;0,623;0,721
3121407;Desterro de Entre Rios;0,768;0,726;0,768;0,777;0,675
3121506;Desterro do Melo;0,724;0,818;0,837;0,789;0,753
3121605;Diamantina;0,634;0,541;0,601;0,638;0,637
3121704;Diogo de Vasconcelos;0,685;0,740;0,783;0,753;0,655
3121803;Dionísio;0,700;0,817;0,795;0,720;0,668
3121902;Divinésia;0,836;0,806;0,724;0,811;0,763
3122009;Divino;0,676;0,747;0,719;0,668;0,676
3122108;Divino das Laranjeiras;0,675;0,579;0,720;0,694;0,604
3122207;Divinolândia de Minas;0,631;0,670;0,787;0,714;0,648
3122306;Divinópolis;0,681;0,669;0,655;0,683;0,574
3122355;Divisa Alegre;0,617;0,593;0,757;0,714;0,660
3122405;Divisa Nova;0,715;0,771;0,845;0,826;0,810
3122454;Divisópolis;0,591;0,658;0,685;0,746;0,768
3122470;Dom Bosco;0,738;0,755;0,714;0,778;0,831
3122504;Dom Cavati;0,743;0,656;0,671;0,668;0,633
3122603;Dom Joaquim;0,723;0,544;0,637;0,632;0,697
3122702;Dom Silvério;0,565;0,697;0,656;0,773;0,714
3122801;Dom Viçoso;0,821;0,874;0,816;0,602;0,678
3122900;Dona Euzébia;0,690;0,794;0,752;0,691;0,715
3123007;Dores de Campos;0,698;0,715;0,671;0,681;0,628
3123106;Dores de Guanhães;0,652;0,726;0,780;0,749;0,771
3123205;Dores do Indaiá;0,660;0,679;0,747;0,773;0,661
3123304;Dores do Turvo;0,829;0,774;0,696;0,737;0,734
3123403;Doresópolis;0,788;0,847;0,770;0,855;0,832
3123502;Douradoquara;0,791;0,834;0,843;0,786;0,813
3123528;Durandé;0,762;0,743;0,757;0,715;0,707
3123601;Elói Mendes;0,663;0,740;0,700;0,732;0,719
3123700;Engenheiro Caldas;0,629;0,644;0,763;0,719;0,580
3123809;Engenheiro Navarro;0,725;0,668;0,832;0,823;0,814
3123858;Entre Folhas;0,722;0,767;0,829;0,813;0,818
3123908;Entre Rios de Minas;0,680;0,743;0,680;0,720;0,608
3124005;Ervália;0,753;0,768;0,761;0,650;0,665
3124104;Esmeraldas;0,634;0,626;0,601;0,667;0,604
3124203;Espera Feliz;0,697;0,730;0,784;0,749;0,683
3124302;Espinosa;0,621;0,603;0,636;0,699;0,639
3124401;Espírito Santo do Dourado;0,792;0,866;0,797;0,820;0,783
3124500;Estiva;0,726;0,774;0,729;0,676;0,624
3124609;Estrela D' Alva;0,680;0,900;0,863;0,718;0,744
3124708;Estrela do Indaiá;0,819;0,902;0,711;0,650;0,681
3124807;Estrela do Sul;0,707;0,699;0,688;0,657;0,645
3124906;Eugenópolis;0,690;0,729;0,699;0,710;0,697
3125002;Ewbank da Câmara;0,753;0,788;0,814;0,598;0,724
3125101;Extrema;0,794;0,836;0,774;0,770;0,697
3125200;Fama;0,677;0,794;0,864;0,816;0,759
3125309;Faria Lemos;0,803;0,681;0,766;0,802;0,663
3125408;Felício dos Santos;0,683;0,584;0,746;0,717;0,760
3125606;Felisburgo;0,684;0,654;0,786;0,778;0,771
3125705;Felixlândia;0,688;0,696;0,735;0,663;0,639
3125804;Fernandes Tourinho;0,781;0,667;0,692;0,698;0,714
3125903;Ferros;0,728;0,724;0,795;0,758;0,740
3125952;Fervedouro;0,683;0,694;0,763;0,797;0,791
3126000;Florestal;0,777;0,753;0,771;0,764;0,742
3126109;Formiga;0,765;0,779;0,756;0,767;0,630
3126208;Formoso;0,801;0,769;0,805;0,793;0,759
3126307;Fortaleza de Minas;0,770;0,859;0,760;0,803;0,770
3126406;Fortuna de Minas;0,789;0,891;0,862;0,606;0,613
