
"Município";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"310710 Boa Esperança";2593;3025;3569;3594;3343;3074;2734;2626;2606;2630;2491;1968;1451;1168;879;651;822;39224
"310720 Bocaina de Minas";264;364;423;412;369;348;405;379;408;403;325;291;196;174;142;92;104;5099
"310730 Bocaiúva";3640;4216;4542;4685;4676;3983;3726;3214;3138;2788;2370;1876;1442;1152;889;557;617;47511
"310740 Bom Despacho";2899;3440;3914;4077;4045;3736;3576;3377;3492;3333;2817;2211;1711;1355;1054;693;732;46462
"310750 Bom Jardim de Minas";385;450;587;549;406;427;466;508;497;494;429;361;300;252;222;156;131;6620
"310760 Bom Jesus da Penha";212;301;331;317;283;291;298;297;322;289;259;193;187;136;102;55;85;3958
"310770 Bom Jesus do Amparo";374;438;484;545;484;459;425;324;394;326;306;261;227;187;139;102;117;5592
"310780 Bom Jesus do Galho";1044;1193;1401;1384;1168;1103;1090;1052;1042;1055;888;805;691;545;481;348;356;15646
"310790 Bom Repouso";710;809;956;893;882;850;888;822;785;773;632;482;415;295;214;124;119;10649
"310800 Bom Sucesso";1007;1295;1486;1472;1296;1255;1333;1246;1204;1272;1167;928;763;584;493;333;426;17560
"310810 Bonfim";324;420;523;505;390;432;508;531;584;503;450;435;388;323;257;198;172;6943
"310820 Bonfinópolis de Minas";415;466;560;581;451;407;415;455;408;408;328;267;248;199;142;97;126;5973
"310825 Bonito de Minas";919;1090;1184;1119;896;783;575;521;516;426;394;374;283;247;222;161;141;9851
"310830 Borda da Mata";1029;1130;1242;1351;1415;1394;1220;1286;1283;1319;1165;925;753;609;510;406;396;17433
"310840 Botelhos";960;1018;1296;1206;1143;1193;1127;1115;1054;1007;982;840;666;507;412;340;328;15194
"310850 Botumirim";535;681;810;784;607;470;414;371;341;368;303;297;210;143;118;86;78;6616
"310870 Brás Pires";278;375;449;469;281;266;297;326;348;319;265;268;223;174;154;106;124;4722
"310855 Brasilândia de Minas";1302;1462;1550;1507;1314;1272;1086;992;917;775;658;532;348;299;200;149;124;14487
"310860 Brasília de Minas";2314;2667;3163;3376;2803;2617;2312;2028;2018;1738;1457;1297;1145;955;803;476;618;31787
"310880 Braúnas";285;417;496;457;355;343;348;328;337;323;277;246;198;196;196;151;169;5122
"310890 Brazópolis";897;1028;1310;1321;1065;1029;1137;1110;952;961;902;826;707;525;445;333;382;14930
"310900 Brumadinho";2264;2523;2971;2912;2964;2814;2830;2638;2640;2446;2000;1624;1298;943;685;519;526;34597
"310910 Bueno Brandão";668;699;871;859;832;799;819;868;793;840;716;625;539;404;329;207;224;11092
"310920 Buenópolis";689;790;981;1068;971;792;811;683;649;615;514;466;419;359;280;178;216;10481
"310925 Bugre";298;334;368;384;296;286;281;274;277;269;205;193;139;145;125;107;84;4065
"310930 Buritis";1976;2321;2466;2248;1866;1912;1880;1584;1457;1269;1018;928;743;521;421;270;275;23155
"310940 Buritizeiro";2400;2720;2827;2780;2561;2396;2199;1790;1584;1466;1293;1040;782;585;410;301;283;27417
"310945 Cabeceira Grande";516;636;681;606;451;482;518;502;498;365;335;287;227;168;129;100;71;6572
"310950 Cabo Verde";929;963;1077;1272;1313;1223;1133;1040;1015;905;890;631;516;376;321;245;228;14077
