"Município";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"310670 Betim";29662;30291;34162;37848;37208;37602;36757;32734;28361;25792;22127;17680;12211;7909;5419;3681;3757;403201
"310680 Bias Fortes";194;228;283;284;245;235;244;263;283;270;257;239;209;162;116;83;103;3698
"310690 Bicas";798;862;969;1096;1058;1061;1049;910;916;988;986;860;725;584;445;352;447;14106
"310700 Biquinhas";108;133;168;182;188;171;157;171;195;220;203;172;159;137;109;77;72;2622
"310710 Boa Esperança";2510;2722;3168;3469;3359;3153;2915;2657;2581;2621;2558;2244;1700;1273;974;708;920;39532
"310720 Bocaina de Minas";254;297;368;400;391;363;370;390;388;414;366;302;242;176;148;108;119;5096
"310730 Bocaiúva";3576;3822;4264;4495;4557;4335;3867;3481;3117;3001;2615;2128;1628;1236;950;663;705;48440
"310740 Bom Despacho";2842;3147;3666;4037;4098;3992;3740;3515;3423;3457;3134;2573;1954;1486;1139;810;864;47877
"310750 Bom Jardim de Minas";364;408;484;530;454;413;449;475;490;492;466;401;332;261;217;171;163;6570
"310760 Bom Jesus da Penha";211;246;311;331;312;296;301;299;304;309;281;235;188;154;110;72;87;4047
"310770 Bom Jesus do Amparo";374;402;457;505;518;481;461;387;348;374;322;291;244;198;153;112;133;5760
"310780 Bom Jesus do Galho";980;1070;1191;1247;1175;1094;1093;1071;1033;1055;995;834;729;584;469;372;411;15403
"310790 Bom Repouso";678;725;846;907;864;852;847;833;781;761;695;553;430;329;228;148;137;10614
"310800 Bom Sucesso";970;1095;1310;1395;1336;1268;1294;1310;1227;1230;1227;1062;842;652;504;382;471;17575
"310810 Bonfim";311;361;444;483;435;402;470;523;550;561;488;442;413;340;272;207;215;6917
"310820 Bonfinópolis de Minas";387;411;457;495;468;410;399;420;417;397;367;295;249;219;164;113;141;5809
"310825 Bonito de Minas";951;996;1113;1103;990;850;721;573;526;496;425;389;335;260;223;180;180;10311
"310830 Borda da Mata";1002;1094;1219;1349;1420;1448;1365;1267;1288;1306;1267;1082;857;678;542;432;493;18109
"310840 Botelhos";920;949;1087;1226;1140;1126;1142;1091;1054;1027;987;911;741;561;427;338;391;15118
"310850 Botumirim";520;576;681;704;627;527;447;391;351;348;338;293;242;166;119;91;93;6514
"310870 Brás Pires";262;306;363;387;342;269;283;310;332;342;300;259;238;189;151;117;139;4589
"310855 Brasilândia de Minas";1326;1364;1496;1545;1450;1333;1227;1056;959;856;706;588;435;304;232;157;154;15188
"310860 Brasília de Minas";2285;2418;2746;3045;2936;2649;2503;2199;1994;1908;1619;1361;1197;1013;826;596;683;31978
"310880 Braúnas";279;330;416;430;389;345;339;334;330;331;302;257;210;187;181;158;194;5012
"310890 Brazópolis";860;923;1090;1226;1132;1016;1053;1106;1033;958;936;857;747;593;451;354;434;14769
"310900 Brumadinho";2278;2412;2790;3106;3042;3003;2902;2809;2693;2670;2350;1878;1469;1102;780;559;635;36478
"310910 Bueno Brandão";628;667;747;832;814;794;791;832;824;808;787;667;572;453;341;246;258;11061
"310920 Buenópolis";669;709;835;957;974;877;793;753;660;631;572;487;431;362;291;205;235;10441
"310925 Bugre";284;305;328;341;331;288;283;276;272;274;242;196;168;136;128;107;110;4069
"310930 Buritis";1991;2092;2285;2276;2050;1895;1912;1740;1488;1364;1160;967;828;610;437;315;321;23731
"310940 Buritizeiro";2354;2440;2636;2662;2565;2441;2283;1980;1665;1509;1345;1145;882;633;451;313;331;27635
"310945 Cabeceira Grande";517;555;617;613;539;472;502;506;490;444;361;319;249;187;136;101;93;6701
"310950 Cabo Verde";881;906;1018;1158;1254;1238;1159;1073;1006;949;869;750;546;423;320;254;272;14076
"310960 Cachoeira da Prata";190;210;249;275;280;280;278;286;258;265;261;212;172;155;124;85;101;3681
"310970 Cachoeira de Minas";725;759;851;898;820;801;823;818;787;820;775;652;550;441;333;240;250;11343
"310270 Cachoeira de Pajeú";706;757;849;831;750;671;660;621;572;557;496;435;371;312;251;184;199;9222
"310980 Cachoeira Dourada";187;192;205;216;204;202;188;196;188;183;163;124;93;75;57;54;72;2599
"310990 Caetanópolis";623;657;757;918;941;897;812;719;753;826;779;643;481;349;252;199;216;10822
"311000 Caeté";2711;2914;3264;3498;3391;3481;3500;3178;2871;2904;2747;2267;1811;1386;1068;783;825;42599
"311010 Caiana";377;397;446;475;460;428;387;381;375;337;304;238;184;127;109;90;93;5208
"311020 Cajuri";241;262;304;347;333;319;312;280;243;255;268;251;183;144;126;90;117;4075
